_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
18696,650,356987,Lord Roberts Jr Public School,,EP,Toronto District School Board,165 Lord Roberts Dr,English Public,356987,165,Lord Roberts Dr,165 Lord Roberts Dr,M1K 3W5,Scarborough,Toronto,Lord Roberts Junior Public School,102001,110705,165,,,,8361,323820.39,4844412.779,43.741435024,-79.2636629041,POINT (-79.2636597003913 43.74142642503696)
18697,651,541018,Loretto Abbey Catholic Secondary School,,ES,Toronto Catholic District School Board,101 Mason Blvd,English Separate,541018,101,Mason Blvd,101 Mason Blvd,M5M 3E2,North York,Toronto,Loretto Abbey,102004,442422,101,,,,6178,311980.539,4844375.179,43.741304919099996,-79.4106598058,POINT (-79.41065655958724 43.74129632427208)
18698,652,10410585,Loretto College School,,ES,Toronto Catholic District School Board,151 Rosemount Ave,English Separate,10410585,151,Rosemount Ave,151 Rosemount Ave,M6H 2N1,former Toronto,Toronto,Loretto College Catholic School,102003,10410573,151,,,,9755,309360.344,4837089.52,43.6757452961,-79.44325019979999,POINT (-79.44324695218116 43.67573671366448)
18699,653,11484484,Lowell International Academy Secondary School,,PR,,3601 Victoria Park Ave,Priv,11484484,3601,Victoria Park Ave,3601 Victoria Park Ave,M1W 3Y3,Scarborough,Toronto,,115001,11484483,3601,,,,370,318005.517,4851311.555,43.8036573024,-79.33568871199999,POINT (-79.3356854771953 43.803648692891)
18700,654,8947218,Lubavitch Yeshiva High School,,PR,,3055 Bathurst St,Priv,8947218,3055,Bathurst St,3055 Bathurst St,M6B 3B7,North York,Toronto,,115001,8929146,3055,,,,436,310482.45399999997,4841879.27,43.7188511274,-79.4292852528,POINT (-79.42928199806602 43.71884253491295)
18701,655,366470,Lucy Maud Montgomery Public School,,EP,Toronto District School Board,95 Murison Blvd,English Public,366470,95,Murison Blvd,95 Murison Blvd,M1B 2L6,Scarborough,Toronto,Lucy Maud Montgomery Public School,102001,105173,95,,,,8552,328171.99199999997,4850591.366,43.7969254084,-79.20936890760001,POINT (-79.20936571800279 43.79691679274498)
18702,656,13494198,Lucy McCormick Sr School,,EP,Toronto District School Board,2717 Dundas St W,English Public,13494198,2717,Dundas St W,2717 Dundas St W,M6P 1Y1,former Toronto,Toronto,Lucy McCormick Senior Public School,102001,12189729,2717,,,,558,307995.58,4835855.157,43.664632602,-79.46017997,POINT (-79.46017996723052 43.66463260677357)
18703,657,9741281,Lycee Francais De Toronto,,PR,,2327 Dufferin St,Priv,9741281,2327,Dufferin St,2327 Dufferin St,M6E 3S5,York,Toronto,D. B. Hood Community School,102001,9741259,2327,,,,557,308931.309,4839077.947,43.69364593270001,-79.448556467,POINT (-79.4485532058637 43.69363734258657)
18704,658,316950,Lynngate Jr Public School,,EP,Toronto District School Board,129 Cass Ave,English Public,316950,129,Cass Ave,129 Cass Ave,M1T 2B5,Scarborough,Toronto,Lynngate Junior Public School,102001,30100525,129,,,,7523,320826.397,4848298.067,43.77646901399999,-79.30071632,POINT (-79.30071632434758 43.77646901142566)
18705,659,14174271,Lynnwood Heights Jr Public School,,EP,Toronto District School Board,50 Southlawn Dr,English Public,14174271,50,Southlawn Dr,50 Southlawn Dr,M1S 1J1,Scarborough,Toronto,Lynnwood Heights Junior Public School,102001,6332545,50,,,,8981,321642.4,4850534.811000001,43.7965925747,-79.2905135119,POINT (-79.29051029368347 43.79658395999636)
18706,660,20043689,MAC Al-Furqan School,,PR,,60 Town Centre Court,Priv,20043689,60,Town Centre Crt,60 Town Centre Crt,M1P 0B1,Scarborough,Toronto,,100001,107849,60,,,,9555,324438.072,4847966.716,43.77339993,-79.255861698,POINT (-79.25586170253051 43.7733999344778)
18707,661,4833177,MacKenzie Academy,,PR,,240 Duncan Mill Rd,Priv,4833177,240,Duncan Mill Rd,240 Duncan Mill Rd,M3B 3S6,North York,Toronto,,104008,30005251,240,,,,5455,316744.969,4846706.53,43.762228523299996,-79.35145636979999,POINT (-79.35145313912423 43.76221992281412)
18708,662,347260,Macklin Public School,,EP,Toronto District School Board,136 Ingleton Blvd,English Public,347260,136,Ingleton Blvd,136 Ingleton Blvd,M1V 2Y4,Scarborough,Toronto,Macklin Public School,102001,30058455,136,,,,8163,323470.577,4853362.3889999995,43.821991912,-79.267694228,POINT (-79.26769422183585 43.82199191375117)
18709,663,4605053,Madina Academy,,PR,,2680 Lawrence Ave E,Priv,4605053,2680,Lawrence Ave E,2680 Lawrence Ave E,M1P 4Y4,Scarborough,Toronto,,112001,4605051,2680,,,,3828,323935.539,4845640.211,43.7524805477,-79.2621899981,POINT (-79.26218679824225 43.75247194420529)
18710,664,7939812,Madinah Islamic School,,PR,,1015 Danforth Ave,Priv,7939812,1015,Danforth Ave,1015 Danforth Ave,M4J 1M1,former Toronto,Toronto,Jamiatul Muslemin Of Toronto,109001,10010625,1015,,,,86,318001.38800000004,4837619.964,43.6804172238,-79.33607438439999,POINT (-79.33607116841877 43.68040863815521)
18711,665,376317,Madinatul Uloom Academy,,PR,,700 Progress Ave,Priv,376317,700,Progress Ave,700 Progress Ave,M1H 2Z7,Scarborough,Toronto,,113001,107416,700,,,,8740,325076.516,4848502.55,43.7782145995,-79.2479140583,POINT (-79.24791085795762 43.77820599067211)
18712,666,376319,Madinatul Uloom Academy Inc,,PR,,710 Progress Ave,Priv,376319,710,Progress Ave,710 Progress Ave,M1H 2X3,Scarborough,Toronto,,113001,107416,710,,,,8740,325111.48699999996,4848552.379,43.778662178599994,-79.2474777657,POINT (-79.24747456955994 43.77865356410297)
18713,667,376313,Madinatul-Uloom Academy,,PR,,670 Progress Ave,Priv,376313,670,Progress Ave,670 Progress Ave,M1H 3A4,Scarborough,Toronto,,113001,107416,670,,,,8740,324899.643,4848450.64,43.7777521079,-79.2501132047,POINT (-79.25011000149598 43.77774349800362)
18714,668,509514,Madonna Catholic Secondary School,,ES,Toronto Catholic District School Board,20 Dubray Ave,English Separate,509514,20,Dubray Ave,20 Dubray Ave,M3K 1V5,North York,Toronto,Madonna,102004,30105871,20,,,,5441,306598.453,4843062.748,43.729515086999996,-79.477480805,POINT (-79.47748080144541 43.72951508467271)
18715,669,1041845,Madresatul Banaat Almuslimaat School,,PR,,10 Vulcan St,Priv,1041845,10,Vulcan St,10 Vulcan St,M9W 1L2,Etobicoke,Toronto,,113001,908227,10,,,,2724,298446.554,4840371.773,43.70526726600001,-79.57863675600001,POINT (-79.57863675262284 43.70526727270607)
18716,670,563759,Magnificent Minds,,PR,,37 Southbourne Ave,Priv,563759,37,Southbourne Ave,37 Southbourne Ave,M3H 1A4,North York,Toronto,Adath Israel Congregation,109001,442635,37,,,,6750,310324.303,4844068.0,43.738553857,-79.4312253639,POINT (-79.43122210276584 43.73854525770111)
18717,671,836897,Malvern Collegiate Institute,,EP,Toronto District School Board,55 Malvern Ave,English Public,836897,55,Malvern Ave,55 Malvern Ave,M4E 3E4,former Toronto,Toronto,Malvern Collegiate Institute,102002,1139888,55,,,,3904,321478.525,4837906.077,43.6829227449,-79.29293953199999,POINT (-79.29293631964877 43.68291414969838)
18718,672,358756,Malvern Jr Public School,,EP,Toronto District School Board,70 Mammoth Hall Trl,English Public,358756,70,Mammoth Hall Trl,70 Mammoth Hall Trl,M1B 1P6,Scarborough,Toronto,Malvern Junior Public School,102001,30060555,70,,,,8403,326249.538,4850687.423,43.797839456999995,-79.23325194600001,POINT (-79.23325194413418 43.79783946102514)
